category;text;
9;eski sürüm daha güzel;
5;berbat uygulamak;
8;yeni sürüm de eski sürüm de hesap gelmek para Eft havale Vb ilgili Sms ya da mail bildirim gelmek;
9;uygulamak Sms ya da e mail bildirim açmak istemek de şu an işlem gerçek hata vermek;
5;tam Halkbank beklemek gibi;
8;rezalet;
2;kullanmak;
8;sabah saat kurmak 9 55 te uyanmak borsa da işlem yapmak için bir bakmak ki sistem hata sistem açmak saat 11 e kadar bazen öğlen kadar bura satmak almak hisse kaynak zarar kim karşılamak;
8;fatura ödemek bölüm doğalgaz ödemek yapmak istemek şık ara armağan da eklemek çok sevinmek;
2;çok kolay ve basit kullanım;
8;kötü demek bakmak on numara banka hizmet teşekkür;
8;gelişmek lazım;
5;sabah beri işlem gerçek uyarı vermek;
8;banka bu;
4;mobil erişim kapalı müşteri hizmet aramak şube yönlenmek şube gitmek müşteri hizmet ara demek iki gün şube ile müşteri hizmet ara mekik dokumak bir yıldız bile siz fazla;
8;uygulamak beğenmek ama profil fotoğraf koymak Ne;
6;uygulamak beğenmek ama profil fotoğraf koymak Ne;
8;yeni güncellemek her ne yapmak Ipad üst uygulamak girmek;
9;1 hafta App açmak bir sefer Wi fi kapamak hücre üst bağlamak demek da pardon Ipad iç hat yani hücre veri yok nasıl olmak;
3;hiç mi düşünmek şu an App hiç bir iş yaramak bravo;
8;kullanım kolay fakat altın fiyat hesap açmak göstermek kötü;
5;üzeri çalışmak durum ve meslek bilgi eksik dolayı ek hesap açmak sorun gidermek;
8;gelişmek;
2;zorlamak tüm iş güzel bir uygulamak teşekkür;
2;uygulamak kullanmak ve iyi;
5;bir iş yaramaz ilk açmak girmek 2. Cide belki;
2;çok karışık sistem;
6;diğer banka olmak gibi başka mail adres ve Whatsapp platform da paylaşmak bilmek;
6;dekont cep foto çekmek göndermek zor kalınmak;
8;ayrıca masa üst bilgisayar dekont gönder işlem yapmak dekont belirlemek kayıt kayıt mail adres gitmek cep telefon uygulamak göndermek sadece kayıt mail adres göndermek bilmek;
6;iyi çalışmak;
9;son güncellemek sonra herhangi bir işlem sonra geri tuş basmak bir önce işlemek almak İşcen ten tamamen çıkmak tekrar girmek zor kalmak düzelmek iyi olmak;
5;son güncellemek sonra herhangi bir işlem sonra geri tuş basmak bir önce işlemek almak İşcen ten tamamen çıkmak tekrar girmek zor kalmak düzelmek iyi olmak;
8;beğendi güzel bir uygulamak;
2;keyif ve kolay bir uygulamak;
5;berbat sürekli olmak hata vermek hiç bir iş yapmak;
9;güncellemek Tm demek sonra tekrar girmek yapmak tekrar güncel demek;
8;harika bir banka var;
2;böyle arayüz mu olmak kapamak buton sol üst hangi mantık;
9;çok sık yenmek istemek;
8;herşey çok rahat eşek etmek;
2;istemek işlem kolay yapmak;
5;son güncellemek sonra Face Id tanımak;
1;son güncellemek sonra program parola girmek sonra durmak hesap girmek yapmak;
5;son güncellemek sonra program parola girmek sonra durmak hesap girmek yapmak;
9;son güncellemek sonra program parola girmek sonra durmak hesap girmek yapmak;
8;siz program yapmak;
2;kullanım çok kolay 70 üst büyük dâhi rahat kullanmak;
8;süper emek sağlık;
8;etkilemek;
9;merhaba telefon yeni güncellemek kullanmak hâlâ eski ara yüz ile kullanmak devam etmek;
1;Tc ile girmek telefon teyit etmek ate soy isim harf kontrol etmek;
8;Bird kimlik Seri No istemek geri zekâ sıfır olmak o yazmak;
5;yeni güncellemek ile birlikte cep şube mail Order açma ve kapamak işlem yapmak;
10;yeni güncellemek ile birlikte cep şube mail Order açma ve kapamak işlem yapmak;
9;hata gidermek için bilgi paylaşmak istemek;
5;hata gidermek için bilgi paylaşmak istemek;
10;hata gidermek için bilgi paylaşmak istemek;
5;4 sene kullanmak herşey iyi artık iyi cılk çıkmak aramak müşteri hizmet bağlamak;
4;canlı kan mesajlaşmak bölüm yapmak demek cevap yazmak yok;
4;kredi kart ödemek yapmak yapmak;
10;zaten hesap para çekmek;
8;diğer banka hiç benzemek ben harika;
8;memnun bir sorun yok;
8;çok memnun hem mobil uygulamak hem banka bu dış çalışmak banka var yapı kredi bir kez bile üzmek teşekkür;
1;girişmek yapmak kendi çıkmak yapmak sürekli tekrarlamak;
8;ufak tefek eksik olmak da güzel bir uygulamak;
8;ev çıkmak her şey yapmak;
4;güvenlik uygulamak çok saçma telefon uygun uygulamak yük diye cep şube iptal etmek şifre için ne müşteri hizmet Ned bu konu şube yardımcı olmak yapmak tek şey kart kırmak atmak bu ülke Nekadar özel banka varmak Allah bilmek gibi yapmak;
2;ben gayet iyi iş görmek menü anlaşmak ve kullanmak kolay;
2;güzel uygulamak iş kolay halletmek bankamatik kare kod ile da işlem halletmek;
5;uygulamak hep sorun vermek;
2;uygulamak daha işlev hal getirmek daha iyi olmak;
6;ayrıca yaklaşmak ödemek bilgi ana ekran uyarı olmak göstermek;
8;Ziraat Banka bu güzel uygulamak için minnettar;
9;telefon Haifa yok sürekli güncellemek yapmak uygulamak kalmak telefon hafıza yer açmak için;
7;telefon Haifa yok sürekli güncellemek yapmak uygulamak kalmak telefon hafıza yer açmak için;
4;direkt müşteri hizmet mobil uygulamak üzeri bağlamak güzel olmak;
5;sürekli bir hata sürekli bir problem biz çalmak biraz kullanmak da düzelmek şu saçma uygulamak;
5;kredi kart olmak hal uygulamak açmak;
5;çok kötü bir uygulamak her sefer dönmek işlem sıra atmak;
2;işlem çok güzel ve iyi;
4;30 Nisa 2020 saat 01.06 1 saat 10 dk olmak müşteri hizmet beklemek açmak;
4;daha sonra otomatik kapamak görüşme;
4;1 saat beklemek zor mı;
4;ve görüşmek kapamak;
8;en kötü banka uygulamak ödül siz vermek;
2;arayüz değişmek yetmek demek ki;
5;açmak uygulamak yapmak;
8;bu iş becermek bu çok açık;
8;çok güzel bir uygulamak el sağlık teşekkür etmek;
2;basit anlaşmak kullanmak gayet kolay;
9;şu son güncellemek sonra daha da iğrenç olmak mobil uygulamak yüz hesap tamam kapamak;
7;şu son güncellemek sonra daha da iğrenç olmak mobil uygulamak yüz hesap tamam kapamak;
1;uygulamak her girmek Sms şifre istemek daha dün güncellemek;
9;sürekli güncellemek diye bildirim gelmek zorlamak güncellemek istemek;
9;arkadaş telefon hafıza yok sürekli uyarı gelmek;
7;hız girmek;
1;hız girmek;
8;hız işlem çözüm odak iyi ki var İşbank;
5;3 hane kod girmek demek 2 hane girmek;
8;yıl kullanmak sorun yok;
8;Allah Aşkın ya bırakmak yâd şu düzgün yapı bu ne saat bir fatura ödemek;
10;uygulamak atmak çizim yanlış demek girmek çizi kabul etmek şifre istemek;
5;uygulamak atmak çizim yanlış demek girmek çizi kabul etmek şifre istemek;
8;uygulamak atmak çizim yanlış demek girmek çizi kabul etmek şifre istemek;
5;bu nasıl bir saçmalık;
7;bu nasıl bir saçmalık;
1;bu nasıl bir saçmalık;
8;bu nasıl iş yapmak;
8;sinir kriz geçirmek el değil;
7;ya beklemek beklemek ağaç olmak yirmi dakika bir program yenilemek mi;
9;ya beklemek beklemek ağaç olmak yirmi dakika bir program yenilemek mi;
8;banka gitmek pek çok iş halletmek;
8;büyük kolay sağlamak;
9;bugün iş e girmek güncellemek demek beklemek demek bağ çıldırmak;
5;bugün iş e girmek güncellemek demek beklemek demek bağ çıldırmak;
8;çok güzel bir uygulamak herkes tavsiye etmek;
5;çok kötü açmak;
1;açmak gitmek şifre girmek bir daha istemek;
8;açmak bile;
9;gayet başarı;
7;sayfa geç açmak;
7;kolay ve hız;
2;kolay ve hız;
5;bu nasıl bir uygulamak sayfa dâhi girmek;
7;uygulamak ağır çalışmak ve işlem geçmek uygulamak atmak;
9;güncellemek niye biri ben yardımcı olmak mu;
6;Apple pay ile anlaşma yapmak mı;
10;Apple pay ile anlaşma yapmak mı;
7;mevcut sistem çok yavaş;
8;en zor an her zaman yan;
8;çok teşekkür etmek ilgi;
8;ben bu ülke en iyi çalışmak banka;
2;gayet basit kullanım ve kolay tavsiye etmek Enhar banka güzel gerçekten;
9;güncellemek zorunlu saçma;
7;uygulamak hız çok yavaş;
2;menü karman çorman;
7;örnek olmak Garan banka uygulamak bakmak biraz feyz alın Garan bank uygulamak menü ne bakmak bir çok I le daha hız Er ip daha hız şekil kısa yol bir çok işlem hemen iptal etmek veya yapmak;
7;siz uygulamak sürekli dönmek tekrar tekrar yeniden girmek yapmak;
1;siz uygulamak sürekli dönmek tekrar tekrar yeniden girmek yapmak;
1;ne zaman güncellemek düzelmek herşey kendi kendi kapamak tekrar şifre istemek ben yazmak bura sen mail at ben ne maî atmak;
9;ne zaman güncellemek düzelmek herşey kendi kendi kapamak tekrar şifre istemek ben yazmak bura sen mail at ben ne maî atmak;
5;ne zaman güncellemek düzelmek herşey kendi kendi kapamak tekrar şifre istemek ben yazmak bura sen mail at ben ne maî atmak;
5;hesap para yatırmak olmak rağmen kart borç son ödemek tarih hesap para çekmek ve borç gecikmek düşmek bu sebep Kbb puan düşmek;
10;hesap para yatırmak olmak rağmen kart borç son ödemek tarih hesap para çekmek ve borç gecikmek düşmek bu sebep Kbb puan düşmek;
8;bura hizmet çok kötü;
8;artık kimse de bu banka tavsiye etmek;
8;hizmet çok kötü;
5;hesap ekstre son gelmek program kendiliğinden kapamak;
5;bu problem çözmek lütfen;
8;el alt banka;
8;daha ne olmak;
6;ilk açmak ekran tüm hesap toplam yer seçmek hesap bakiye göstermek seçenek eklemek;
2;çok kullanmak ve pratik;
6;fatura ödemek bura kadar herşey normal ancak fatura kayıt etmek istemek ama her sefer tek tek kurum seçmek fatura seçmek Vb problem ile zaman kaybetmek;
2;fatura ödemek bura kadar herşey normal ancak fatura kayıt etmek istemek ama her sefer tek tek kurum seçmek fatura seçmek Vb problem ile zaman kaybetmek;
7;başka banka mobil uygulamak hepsi kayıt etmek sadece kayıt fatura görmek ve işlem çok hız halletmek;
8;böyle bir banka böyle bir ucuz uygulamak ne ya uygulamak yüz banka nefret olmak artık;
8;rahat;
4;bütün çalışmak ekip teşekkür etmek;
8;çok heyecan;
10;insan cazip gelmek gerçekten insan salak yerine ilk telefon sorun yaşamak ama sen telefon dört ay ödemek düzen kabul etmek şu an ongun uğraşmak yok kabul etmek artı gün geçmek diye aramak ceza kabul olmak da gün gelmek neden sorun yaşamak tüm sorun yaşamak rica tüketmek hak şikâyet bulunmak gerekmek ben bugün Deb eski gibi ödemek yapmak şikâyet bulunmak Denizbank hiç tavsiye etmek;
8;insan cazip gelmek gerçekten insan salak yerine ilk telefon sorun yaşamak ama sen telefon dört ay ödemek düzen kabul etmek şu an ongun uğraşmak yok kabul etmek artı gün geçmek diye aramak ceza kabul olmak da gün gelmek neden sorun yaşamak tüm sorun yaşamak rica tüketmek hak şikâyet bulunmak gerekmek ben bugün Deb eski gibi ödemek yapmak şikâyet bulunmak Denizbank hiç tavsiye etmek;
8;çok harika bütün işlem yapmak;
2;güzel ve kullanım kolay bir uygulamak;
5;İnternet bağlantı olmak hal İnternet bağlantı kontrol etmek hata almak;
2;telefon bozmak için uygulamak erişim gitmek yapmak tekrar inmek Tr hangi yapmak yapmak İngilizce çıkmak dil ayar da bulmak ya da yok;
8;bugün kadar çalışmak en iyi banka;
8;kendi değer hissetmek;
8;uygulamak da çok pratik neredeyse bir sene kart kullanmak şube de uğramak sadece mobil uygulamak tüm işlem halletmek;
8;teşekkür;
9;yeni Akbank uygulamak android telefon çalışmak aynı hesap Iphone da çalışmak;
5;yeni Akbank uygulamak android telefon çalışmak aynı hesap Iphone da çalışmak;
8;çok berbat bir uygulamak ve Atm var hiçbir iş yaramak ne para yatırmak ne bir şey;
8;sabah 10 acil iş olmak uygulamak açmak demek yoğun dolayı kesinti olmak girmek yapmak uyarı gelmek yazık olmak böyle uygulamak derhâl ilk isim banka değişmek Olucak siz yüz para kaybetmek;
8;güzel sıkıntı yok iyi;
8;hizmet anlayış için teşekkür etmek;
6;havale dekont mail adres yâd Whatsapp tan atmak;
3;firma İnternet veya mobil banka üzeri gümrük vergi tahsilât yapmak sonra vergi tahsil alındı almak;
3;tahsilât yapmak hesap hareket iç ilgili tahsilât dekont e posta olmak göndermek imek gümrük vergi tahsilât alt kalem tahsilât olmak damga vergi ve Kdv bedel dekont üzeri yer almak;
3;bu neden gümrük vergi tahsil alındı dekont sürekli şube almak ve hem şube hem de müşteri zaman kayıp sebep olmak;
8;çok iyi bir uygulamak teşekkür etmek;
1;25.06.2020 sürüm mobil iş cep bireysel kullanmak girmek özellikle yoğun olmak gün program kapamak diye sistem atmak;
5;25.06.2020 sürüm mobil iş cep bireysel kullanmak girmek özellikle yoğun olmak gün program kapamak diye sistem atmak;
1;bir türlü şifre almak İnternet banka girmek;
5;düzgün girmek geçerli işlem yapmak demek bir düzenek bağlamak hiçbir sonuç alınmak;
8;sorun;
6;yatırım kısım aynı tablo Al satmak fiyat ve yükselmek ve inmek oran göstermek;
6;ayrıca bir önce gün kapamak oran yazmak iyi olmak;
6;ayrıca iş anasayfa direk döviz veya altın Al satmak buton olmak büyük kolay sağlamak;
2;kullanmak;
7;çok yormak sürekli sorun yaşamak sistem bloke olmak banka gitmek zor kalmak;
2;çok kullanmak bir program;
8;mükemmel çok yakın;
8;3 ay beri değer Allah siz ve siz yönetmek inşallah helâk etmek bertaraf etmek;
8;esnaf yan olmak banka;
2;uygulamak çok iş yaramak ve kullanmak güzel;
5;bu kadar berbat bir uygulamak görmek uygulamak bir sürü açık var ve hata dolu;
8;bu kadar berbat bir uygulamak görmek uygulamak bir sürü açık var ve hata dolu;
5;ben yazılım mühendis bu iş çok iyi bilmek açık söylemek o kadar sinir ki gelmek biri içeri siz diye beklemek ve şu saçma uygulamak hata düzelmek ben hesap sürekli bloke olmak şifre doğru girmek emin bakmak ben para transfer ile ilgilenmek ve hesap bloke olmak ben can çok sıkmak ya bu sorun çözmek yok dava açmak;
1;ben yazılım mühendis bu iş çok iyi bilmek açık söylemek o kadar sinir ki gelmek biri içeri siz diye beklemek ve şu saçma uygulamak hata düzelmek ben hesap sürekli bloke olmak şifre doğru girmek emin bakmak ben para transfer ile ilgilenmek ve hesap bloke olmak ben can çok sıkmak ya bu sorun çözmek yok dava açmak;
7;ben yazılım mühendis bu iş çok iyi bilmek açık söylemek o kadar sinir ki gelmek biri içeri siz diye beklemek ve şu saçma uygulamak hata düzelmek ben hesap sürekli bloke olmak şifre doğru girmek emin bakmak ben para transfer ile ilgilenmek ve hesap bloke olmak ben can çok sıkmak ya bu sorun çözmek yok dava açmak;
7;biraz yavaş ama yine de iyi;
2;siyah tema sadece yıldız müşteri özel açmak olmak siz ayak tutmak müşteri ayrım yapmak seçmek ve sınıf anlam gelmek;
3;siyah tema sadece yıldız müşteri özel açmak olmak siz ayak tutmak müşteri ayrım yapmak seçmek ve sınıf anlam gelmek;
1;saçma bir uygulamak girmek yapmak;
6;hücre veri olmak Ipad de ısrar mobil veri geçmek istemek ve açmak;
8;çok güzel beğenmek tavsiye etmek;
8;bu çıkarmak Allah razı olmak;
2;gayet rahat ve güvenmek çok kolay;
7;gayet güzel çalışmak;
8;vs bu nahoş iş ben usanmak;
9;mobil özellik olmak Ipad derin uygulamak kullanmak engellemek;
9;yok süper bir iş yapmak güvenlik en üst seviye çıkmak bu şekil kalmak mı demek;
8;böyle aptal bir banka böyle aptal bir uygulamak görmek;
8;bu uygulamak oluşmak yazılım mühendis de Allah belâ vermek;
5;acil bir durum olmak hesap girmek çalışmak ama uygulamak açmak;
5;uygulamak silmek tekrar yüklemek yine olmak;
8;çok güzel beğenmek çok güzel bir hizmet;
5;sabah 8 demek beri saat şu an 11.20 uygulamak girmek;
5;yahu arkadaş millet bir sürü olumsuz yorum yapmak nasıl bir banka hiç mi utanmak şu uygulamak düzelmek akıl gelmek mu uygulamak girmek kendi kendi kapamak sistem çıkmak ayıp ayıp rezil bir banka;
1;son güncellemek sonra girmek yapmak şu an işlem gerçek;
5;son güncellemek sonra girmek yapmak şu an işlem gerçek;
9;son güncellemek sonra girmek yapmak şu an işlem gerçek;
5;uyarı almak;
2;koyu tema geçmek çıkmak sal demek sallamak yine çıkmak hiç beğenmek;
9;acil eski görüm geçmek;
2;acil eski görüm geçmek;
2;güncellemek sonra diğer banka mobil banka gibi karışık görünmek;
9;güncellemek sonra diğer banka mobil banka gibi karışık görünmek;
2;siz en iyi yapmak basit görünüm ve çok kullanmak olmak;
9;bu güncellemek sonra emin ki çoğu kişi memnun kalmak;
8;bu güncellemek sonra emin ki çoğu kişi memnun kalmak;
8;güzel program hesap her an kontrol etmek Tesk;
2;Hertürlü işlem kolay yapmak olmak dolayı;
8;uygulamak şahane;
1;hiç memnun değil durmak şifre değişmek için ben zor durum bırakmak;
2;yıldız haketmek işlem hız ve kolay;
8;yıldız haketmek işlem hız ve kolay;
7;2. gün ne hisse doğru dürüst görmek;
7;ne görmek portföy de maliyet doğru yazmak;
2;kullanmak;
1;şifre yanlış demek;
1;tamam şifre ali tıklamak herhangi bir kart şifre girmek açıklamak;
1;tamam girmek olmak;
4;müşteri hizmet;
4;bura Gercek şube gitmek;
4;niye telefon bir uygulamak var falan filân biz siz dönmek;
1;basit bir şifre olay ne büyümek be Fatih yavuz;
8;harika uygulamak diğer göre çok tatmin etmek;
2;her şey çok kolay ve kullanmak;
2;kullanım kolay;
2;basit kullanım kolay;
5;Akbank direkt mobil açmak;
